City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Marawi,PH,79.0,moderate rain,8.0,124.29,Derogongan Residence
317,Suriapet,IN,77.25,light rain,17.15,79.62,OYO 45679 Hotel Tirumala Grand
318,Talara,PE,75.2,broken clouds,-4.58,-81.27,Hostal Oro Negro
324,Los Llanos De Aridane,ES,75.2,broken clouds,28.66,-17.92,Valle Aridane
325,Darab,IR,60.84,clear sky,28.75,54.54,Naghshe shapoor Hotel
326,Mount Isa,AU,78.8,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
330,Bowen,AU,64.4,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
331,Jijiga,ET,71.15,scattered clouds,9.35,42.8,RAMAAS HOTEL
340,Chuy,UY,62.96,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
342,Kiama,AU,61.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
345,Tukrah,LY,70.11,broken clouds,32.53,20.58,استراحة لاقروتا
346,Winchester,GB,60.8,few clouds,51.07,-1.32,Lainston House
350,Ilula,TZ,69.62,clear sky,-7.68,36.04,FM Lodge
351,Vao,NC,73.26,few clouds,-22.67,167.48,Hotel Kou-Bugny
359,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
360,Iquique,CL,68.0,broken clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
361,Eshowe,ZA,61.14,broken clouds,-28.89,31.47,Sugar Hill Manor
367,Shingu,JP,61.79,broken clouds,33.73,135.98,Shingu UI Hotel
368,Fuzhou,CN,71.6,light rain,26.06,119.31,Shangri La Hotel Fuzhou
369,Auki,SB,77.61,broken clouds,-8.77,160.7,Auki Motel
370,Camacupa,AO,79.25,overcast clouds,-12.02,17.48,
373,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
376,Hamilton,US,69.01,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
378,Brindisi,IT,69.8,scattered clouds,40.58,17.67,Agriturismo Tibitone
379,Port Hedland,AU,73.4,clear sky,-20.32,118.57,The Esplanade Hotel
380,Miraflores,MX,62.6,scattered clouds,19.22,-98.81,Hotel Mansión
386,Plettenberg Bay,ZA,62.98,clear sky,-34.05,23.37,Thanda Vista B&B
387,Ikalamavony,MG,73.58,scattered clouds,-21.15,46.58,
390,Whittlesea,ZA,70.14,clear sky,-32.18,26.82,Eddie's Nest B&B
393,Bastrop,US,79.0,clear sky,32.76,-91.87,Budget Inn
394,Tocopilla,CL,67.26,clear sky,-22.09,-70.2,Hotel Galvarino
395,Katol,IN,78.8,haze,21.27,78.58,OYO 45414 Hotel Sai Palace
396,Hervey Bay,AU,70.0,light rain,-25.3,152.85,Shelly Bay Resort
397,Tiarei,PF,73.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
398,Diamantina,BR,73.08,broken clouds,-18.25,-43.6,HOTEL MONTANHAS DE MINAS
399,Vanimo,PG,76.57,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
400,Mataram,ID,78.8,broken clouds,-8.58,116.12,Hotel Santika Mataram
401,Murgab,TM,68.0,clear sky,37.5,61.97,
402,Pecos,US,64.4,clear sky,31.42,-103.49,Knights Inn Pecos
403,Likasi,CD,75.81,broken clouds,-10.98,26.73,TABERNACLE DE LIKASI
405,Teahupoo,PF,73.4,few clouds,-17.83,-149.27,Vanira Lodge
408,Matucana,PE,68.45,light rain,-11.85,-76.4,Hostal La Fontana
410,Nantucket,US,64.4,fog,41.28,-70.1,Jared Coffin House
412,Myanaung,MM,73.13,overcast clouds,18.28,95.32,Taung Hlay Khar
414,Daru,PG,76.84,few clouds,-9.08,143.21,New century hotel
416,Mao,ES,73.4,broken clouds,39.89,4.27,ARTIEM Capri
419,Davila,PH,77.0,scattered clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
420,Ambilobe,MG,79.47,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
421,Flinders,AU,61.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
