City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Poronaysk,RU,49.22,143.12,49.28,85,100,12.37,overcast clouds
270,Shirokiy,RU,49.76,129.52,38.48,75,0,8.61,clear sky
271,Acari,PE,-15.43,-74.62,76.78,36,25,10.76,scattered clouds
272,Saint-Joseph,RE,-21.37,55.62,75.2,69,37,13.87,scattered clouds
273,Faya,SA,18.39,42.45,73.4,15,0,9.17,clear sky
274,Kailua,US,21.4,-157.74,77,100,75,2.89,broken clouds
275,Mikhaylovka,RU,50.06,43.24,45,52,100,4,overcast clouds
276,Kpandae,GH,8.47,-0.01,91.29,49,32,3.49,scattered clouds
277,Gobabis,NA,-22.45,18.97,93.87,10,98,9.86,overcast clouds
278,Cayenne,GF,4.93,-52.33,89.6,62,12,16.11,few clouds
279,Huanan,CN,46.22,130.52,46.09,74,95,10.07,overcast clouds
280,Sangar,RU,63.92,127.47,15.96,97,88,1.7,overcast clouds
281,Wagar,SD,16.15,36.2,91.72,16,0,6.82,clear sky
282,Karratha,AU,-20.74,116.85,70.32,65,16,14.97,few clouds
283,Jumla,NP,29.27,82.18,47.41,52,0,4.34,clear sky
284,Milford,US,41.22,-73.06,68,93,90,5.82,overcast clouds
285,Tshikapa,CD,-6.42,20.8,79.16,81,95,0.92,light rain
286,Mandalgovi,MN,45.76,106.27,23.59,84,0,7.52,clear sky
287,Sao Joao Da Barra,BR,-21.64,-41.05,86,51,40,4.7,scattered clouds
288,Cockburn Town,TC,21.46,-71.14,77,88,75,12.75,broken clouds
289,Sokolo,ML,14.73,-6.12,101.16,11,0,7.85,clear sky
290,Leningradskiy,RU,69.38,178.42,34.83,85,100,9.48,overcast clouds
291,Orvieto,IT,42.72,12.11,63,75,0,3.91,clear sky
292,Gizo,SB,-8.1,156.84,81.86,75,86,6.11,overcast clouds
293,Broken Hill,AU,-31.95,141.43,66.2,29,33,5.82,scattered clouds
294,Rio Grande,BR,-32.03,-52.1,62.01,92,99,4,overcast clouds
295,Mathbaria,BD,22.29,89.96,77.63,94,100,10.09,light rain
296,Yenagoa,NG,4.92,6.26,85.96,66,62,4.43,broken clouds
297,Richards Bay,ZA,-28.78,32.04,67.62,73,16,6.17,few clouds
298,Kainantu,PG,-6.29,145.87,61.32,96,90,1.03,overcast clouds
