City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Tuatapere,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
152,Iberia,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
153,Vysokogornyy,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
154,Taolanaro,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
155,Sembe,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
156,Husavik,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
157,Qaanaaq,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
158,Aykhal,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
159,Norrtalje,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
160,Gawler,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
161,Tingrela,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
162,Moose Factory,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
163,Miramar,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
164,Thunder Bay,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
165,Kamenskoye,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
166,Bambous Virieux,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
167,Bredasdorp,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
168,Roald,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
169,Vao,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
170,Sao Borja,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
171,Raudeberg,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
172,Dikson,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
173,Shu,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
174,Khorixas,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
175,Bengkulu,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
176,Urusha,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
177,Port Shepstone,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
178,Circleville,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
179,Los Llanos De Aridane,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
180,Ahipara,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
181,Khatanga,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
182,Abu Dhabi,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
183,Vestmannaeyjar,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
184,Ostrovnoy,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
185,Auki,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
186,Bethel,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
187,Tahta,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
188,Gornyy,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
189,Hamada,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
190,Lavrentiya,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
191,Kabinda,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
192,Racale,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
193,Ugento,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
194,Vaitape,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
195,Toyooka,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
196,Tabiauea,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
197,Kalmunai,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
198,Souillac,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
199,Port Blair,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
200,San Quintin,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
201,Umzimvubu,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
202,Roma,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
203,Montrose,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
204,Hobe Sound,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
205,Alamos,US,2020-10-19 14:13:10,33.03,-115.42,294.15,32,20,0.66
206,Xiaoshi,US,2020-10-19 14:13:09,33.03,-115.42,294.15,32,20,0.66
207,Sisimiut,US,2020-10-19 14:13:11,33.03,-115.42,294.15,32,20,0.66
